flower 꽃
name 이름
car 자동차
tea 차
color 색
eye 눈
toe 발가락
foot 발
chic 볼
clown 광대
flowerpot 화분
station 정류장
door 문
cap 야구모자
hat 모자
ear 귀
nose 코
face 얼굴
country 시골
city 도시
elf 요정
house 집
home 집
leaf 나뭇잎
loof 지붕
snicker 운동화
pants 바지
jeans 청바지
book 책
hand 손
low 법
school 학교
nail 손톱
pencil 연필
pen 펜
busstop 버스정류장
eyebrow 눈썹
eyelid 속눈썹
stair 계단
chin 볼
spoon 숟가락
chapstick 젓가락
bowl 접시
giraffe 기린
elephant 코끼리
bird 새
human 인간
clothes 옷
food 음식
fruit 과일
fish 물고기
beef 소고기
meat 돼지고기
dog 개
cat 고양이
whale 고래
fairytale 동화
story 이야기
blanket 이불
pillow 베개
table 책상
office 사무실
chair 의자
picture 사진
note 공책
nation 나라
train 기차
taxi 택시
airplane 비행기
boat 보트
cruise 크루즈
river 강
row 낮은
high 높은
fly 날다
work 일
board 칠판
plant 식물
cup 컵
pack 포장
apple 사과
middleschool 중학교
highschool 고등학교
university 대학교
knife 칼
knight 용사
night 밤
day 하루
mountain 산
skirt 치마
talk 대화
bottle 병
triangle 삼각형
circle 원
square 네모
dot 점
stripe 줄무늬
trick 마술
question 질문
answer 대답
